# Time	forces(pressure, viscous) moment(pressure, viscous)
1	(((0.267297 0.0286766 0) (-2.13322e+11 1.28143e+09 0)) ((7.30769e-07 -3.92899e-07 0.00207671) (-1.3841e+06 2.76953e+06 -9.02624e+09)))
2	(((0.23917 0.029462 0) (-2.02489e+12 1.21636e+10 0)) ((5.67129e-07 -2.76489e-07 0.00206528) (-1.31382e+07 2.62889e+07 -8.5679e+10)))
